Target,Source
PAST LIVES & AFTERLIFE,"Llewellyn Publications, Visionary Living, Incorporated"
PAST LIVES,Hay House
"PARAPSYCHOLOGY, RELATIONSHIPS",Hay House
"PARAPSYCHOLOGY, OCCULTISM",Martino Fine Books
"PARAPSYCHOLOGY, HEALING",Hay House 
PARAPSYCHOLOGY,Hay House
PARANORMAL,"Hay House, Macmillan"
PALMISTRY,Llewellyn Publications
"PAGAN, WORLD PAGANISM, SANTERIA",Llewellyn Publications
"PAGAN, WORLD PAGANISM",Llewellyn Publications
"PAGAN, WITCHCRAFT, LGBTQ",Llewellyn Publications
"PAGAN, WITCHCRAFT",Llewellyn Publications
"PAGAN, WICCA, WITCHCRAFT, GHOSTS & HAUNTINGS, SPIRIT COMMUNICATION",Llewellyn Publications
"PAGAN, WICCA, WITCHCRAFT",Llewellyn Publications
"PAGAN, SPELLS, WITCHCRAFT",Llewellyn Publications
"PAGAN, SPELLS, PRACTICAL TECHNIQUES, WITCHCRAFT",Llewellyn Publications
"PAGAN, SPELLS, PRACTICAL TECHNIQUES",Llewellyn Publications
"PAGAN, SPELLS",Llewellyn Publications
"PAGAN, SOLITARY PATH, WITCHCRAFT",Llewellyn Publications
"PAGAN, SOLITARY PATH, SPELLS, PRACTICAL TECHNIQUES, WITCHCRAFT",Llewellyn Publications
"PAGAN, SHAMANISM, WORLD PAGANISM",Llewellyn Publications
"PAGAN, SABBATS & SEASONS, WITCHCRAFT, WORLD PAGANISM",Llewellyn Publications
"PAGAN, SABBATS & SEASONS, WITCHCRAFT",Llewellyn Publications
"PAGAN, RITUAL, WITCHCRAFT",Llewellyn Publications
"PAGAN, RITUAL, SPELLS, WITCHCRAFT",Llewellyn Publications
"PAGAN, RITUAL, SPELLS, PRACTICAL TECHNIQUES, WITCHCRAFT",Llewellyn Publications
"PAGAN, RITUAL, SABBATS & SEASONS, SPELLS, WITCHCRAFT",Llewellyn Publications
"PAGAN, RITUAL",Llewellyn Publications
"PAGAN, RITES OF PASSAGE, RITUAL",Llewellyn Publications
"PAGAN, PRACTICAL TECHNIQUES, WITCHCRAFT",Llewellyn Publications
"PAGAN, ANCESTORS AND ANCESTOR WORK",Llewellyn Publications
"PAGAN, RITUAL","Adams Media, Llewellyn Publications"
PAGAN,Llewellyn Publications
OTHER DIVINATION,Llewellyn Publications
ORACLES,Llewellyn Publications
"OCCULTISM, UFOS",CreateSpace Independent Publishing Platform
"OCCULTISM, GHOST & HAUNTINGS","Quirk Books, Safari Publishing"
"OCCULTISM, ALCHEMY",Viking Pr
OCCULTISM,"Intervarsity Pr, The Original Falcon Press, Madleo Publishing"
"NUMEROLOGY, ANGELS & SPIRIT GUIDES",Hay House
NUMEROLOGY,"Hay House, Llewellyn Publications"
"NATURAL MAGIC, WITCHCRAFT",Llewellyn Publications
"NATURAL MAGIC, SPELLS, MEDITATION",Witch Way Publishing
"NATURAL MAGIC, SPELLS","Sterling Ethos, Reaper Publishing, LLC"
NATURAL MAGIC,Hay House
"MYTHICAL CREATURES, VAMPIRES","McFarland , NeDeo Press, Checkmark Books, Visionary Living, Incorporated"
"MYTHICAL CREATURES, SPELLS, NATURAL MAGIC, WITCHCRAFT",Hay House
"MYTHICAL CREATURES, SPELLS, NATURAL MAGIC",Hay House
"MYTHICAL CREATURES, PAGANISM, WORLD PAGANISM","Checkmark Books, HarperOne, McFarland "
"MYTHICAL CREATURES, CRYPTOZOOLOGY, ILLINOIS",Stackpole Books
"MYTHICAL CREATURES, CRYPTOZOOLOGY","Stackpole Books, TarcherPerigee, Independently Published, Unexplained Research Publishing LLC, Running Press Adult, Bower House"
MYTHICAL CREATURES,"Hay House, Llewellyn Publications"
"MEDITATION, PSYCHIC DEVELOPMENT","Llewellyn Publications, Hay House"
"MEDITATION, HEALING, RITUAL, PRACTICAL TECHNIQUES",Llewellyn Publications
"MEDITATION, EMPOWERMENT & INSPIRATION, SPIRITUALITY",Llewellyn Publications
"MEDITATION, EMPOWERMENT & INSPIRATION",Llewellyn Publications
